Match ID,Map name,Map Image URL,Mode,Match duration (milliseconds),Match duration,Kills,XP at end,EKIA Ratio,Rank at end,Accuracy,Shots Landed,Highest Multikill,EKIA,Score,Headshots,Assists,Score per minute,Deaths,Damage dealt,KD Ratio,Shots Missed,Multi Kills,Highest Streak,Hits,Time played,Suicides,Time played alive,Objectives,Shots,Shots fired
640539380583385288,Cartel,https://www.callofduty.com/cdn/app/base-maps/cw/mp_cartel.jpg,Domination,627000,10m 27s,18.0,0,1.3333333333333333,0,27.142857142857142,95.0,2.0,20.0,1575.0,2.0,2.0,136.95652173913044,15.0,3161.0,1.2,255.0,1.0,3.0,98.0,690.0,0.0,556.0,2.0,0.0,350.0
16973077778542389252,Armada,https://www.callofduty.com/cdn/app/base-maps/cw/mp_black_sea.jpg,Domination,724000,12m 04s,29.0,0,1.7222222222222223,0,30.409356725146196,156.0,2.0,31.0,5000.0,11.0,2.0,388.098318240621,18.0,4846.0,1.6111111111111112,357.0,6.0,5.0,156.0,773.0,1.0,648.0,10.0,0.0,513.0
17490614288778447402,Satellite,https://www.callofduty.com/cdn/app/base-maps/cw/mp_satellite.jpg,Domination,680000,11m 20s,16.0,0,0.75,0,21.973094170403588,98.0,0.0,18.0,1745.0,5.0,4.0,141.29554655870444,24.0,3525.0,0.6666666666666666,348.0,0.0,3.0,105.0,741.0,0.0,569.0,8.0,0.0,446.0
10493903348749762285,Moscow,https://www.callofduty.com/cdn/app/base-maps/cw/mp_moscow.jpg,Domination,711000,11m 51s,16.0,0,1.1666666666666667,0,26.903553299492383,106.0,2.0,21.0,1970.0,4.0,7.0,152.51612903225808,18.0,3882.0,0.8888888888888888,288.0,2.0,4.0,106.0,775.0,0.0,607.0,6.0,0.0,394.0
15785910744266379261,Garrison,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tank.jpg,Domination,685000,11m 25s,37.0,0,4.333333333333333,0,27.391304347826086,126.0,2.0,39.0,7940.0,10.0,2.0,643.7837837837837,9.0,5860.0,4.111111111111111,334.0,3.0,9.0,126.0,740.0,1.0,582.0,18.0,0.0,460.0
8262163842301669147,Crossroads,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tundra.jpg,Domination,687000,11m 27s,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
7272563142566738478,Crossroads,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tundra.jpg,Domination,674000,11m 14s,10.0,0,0.8571428571428571,0,26.046511627906977,56.0,2.0,12.0,1565.0,3.0,4.0,332.97872340425533,14.0,1882.0,0.7142857142857143,159.0,2.0,4.0,56.0,282.0,0.0,225.0,7.0,0.0,215.0
8879007624278678267,Miami,https://www.callofduty.com/cdn/app/base-maps/cw/mp_miami.jpg,Domination,603000,10m 03s,14.0,0,1.75,0,27.027027027027028,60.0,0.0,14.0,2885.0,5.0,0.0,257.5892857142857,8.0,2402.0,1.75,162.0,0.0,7.0,61.0,672.0,0.0,541.0,8.0,0.0,222.0
14141781644794432137,Moscow,https://www.callofduty.com/cdn/app/base-maps/cw/mp_moscow.jpg,Domination,614000,10m 14s,30.0,692225.0,2.8181818181818183,39.0,30.65326633165829,122.0,4.0,31.0,5975.0,6.0,1.0,531.8991097922849,11.0,4686.0,2.727272727272727,276.0,4.0,8.0,127.0,674.0,0.0,547.0,17.0,0.0,398.0
11333881980305237259,Garrison,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tank.jpg,Domination,654000,10m 54s,15.0,0,0.8421052631578947,0,22.75132275132275,86.0,2.0,16.0,2620.0,6.0,3.0,218.03051317614427,19.0,3403.0,0.7894736842105263,292.0,1.0,4.0,107.0,721.0,0.0,566.0,3.0,0.0,378.0
2523446117064723029,Cartel,https://www.callofduty.com/cdn/app/base-maps/cw/mp_cartel.jpg,Domination,740000,12m 20s,21.0,0,0.92,0,22.961730449251245,138.0,0.0,23.0,2670.0,5.0,3.0,199.7506234413965,25.0,4520.0,0.84,463.0,0.0,4.0,144.0,802.0,0.0,640.0,9.0,0.0,601.0
487870357289208311,Checkmate,https://www.callofduty.com/cdn/app/base-maps/cw/mp_kgb.jpg,Domination,649000,10m 49s,30.0,0,2.0,0,25.63176895306859,142.0,2.0,32.0,4495.0,4.0,3.0,380.3949224259521,16.0,4927.0,1.875,412.0,2.0,5.0,142.0,709.0,1.0,576.0,12.0,0.0,554.0
8036755755784786258,Armada,https://www.callofduty.com/cdn/app/base-maps/cw/mp_black_sea.jpg,Domination,675000,11m 15s,23.0,0,1.3333333333333333,0,29.15766738660907,135.0,3.0,24.0,2980.0,3.0,4.0,247.30290456431533,18.0,4666.0,1.2777777777777777,328.0,4.0,4.0,135.0,723.0,1.0,580.0,10.0,0.0,463.0
16947928013083366520,Armada,https://www.callofduty.com/cdn/app/base-maps/cw/mp_black_sea.jpg,Domination,633000,10m 33s,28.0,0,1.4,0,30.962343096234306,148.0,2.0,28.0,2745.0,4.0,2.0,238.0057803468208,20.0,5075.0,1.4,330.0,3.0,5.0,148.0,692.0,0.0,552.0,7.0,0.0,478.0
17800273938310771212,Moscow,https://www.callofduty.com/cdn/app/base-maps/cw/mp_moscow.jpg,Domination,595000,09m 55s,15.0,0,1.0625,0,28.852459016393446,88.0,2.0,17.0,1925.0,4.0,2.0,176.0670731707317,16.0,2847.0,0.9375,217.0,2.0,2.0,88.0,656.0,0.0,507.0,11.0,0.0,305.0
1250021560573376132,Crossroads,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tundra.jpg,Domination,707000,11m 47s,44.0,610407.0,1.9565217391304348,36.0,26.21359223300971,189.0,2.0,45.0,6290.0,8.0,2.0,496.5789473684211,23.0,6533.0,1.9130434782608696,532.0,5.0,7.0,189.0,760.0,0.0,619.0,18.0,0.0,721.0
17857005459494836795,Miami,https://www.callofduty.com/cdn/app/base-maps/cw/mp_miami.jpg,Domination,579000,09m 39s,8.0,0,2.6666666666666665,0,30.76923076923077,20.0,2.0,8.0,1170.0,4.0,0.0,248.0565371024735,3.0,1453.0,2.6666666666666665,45.0,1.0,5.0,20.0,283.0,0.0,250.0,2.0,0.0,65.0
805930879198354440,Armada,https://www.callofduty.com/cdn/app/base-maps/cw/mp_black_sea.jpg,Combined Arms: Assault,834000,13m 54s,34.0,0,2.9166666666666665,0,33.16831683168317,134.0,2.0,35.0,10020.0,7.0,2.0,677.0270270270271,12.0,5943.0,2.8333333333333335,270.0,3.0,10.0,134.0,888.0,1.0,790.0,6.0,0.0,404.0
16949592436265245232,Crossroads,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tundra.jpg,Combined Arms: Assault,433000,07m 13s,5.0,0,1.5,0,28.125,9.0,0.0,6.0,400.0,1.0,1.0,86.64259927797835,4.0,782.0,1.25,23.0,0.0,2.0,10.0,277.0,0.0,222.0,0.0,0.0,32.0
4208735246300600141,Crossroads,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tundra.jpg,Hardpoint,726000,12m 06s,37.0,0,1.3928571428571428,0,25.795644891122276,154.0,3.0,39.0,3480.0,6.0,2.0,268.03594351732994,28.0,5666.0,1.3214285714285714,443.0,6.0,4.0,154.0,779.0,1.0,660.0,15.0,0.0,597.0
9192341097483151004,Armada,https://www.callofduty.com/cdn/app/base-maps/cw/mp_black_sea.jpg,Team Deathmatch,581000,09m 41s,19.0,0,1.3157894736842106,0,30.493273542600896,136.0,2.0,25.0,3015.0,5.0,9.0,287.1428571428571,19.0,3846.0,1.0,310.0,1.0,4.0,136.0,630.0,0.0,523.0,0.0,0.0,446.0
15399106783965741797,Moscow,https://www.callofduty.com/cdn/app/base-maps/cw/mp_moscow.jpg,Domination,729000,12m 09s,21.0,0,1.2857142857142858,0,25.383304940374785,149.0,2.0,27.0,2875.0,7.0,7.0,218.35443037974682,21.0,4097.0,1.0,438.0,1.0,4.0,149.0,790.0,0.0,638.0,13.0,0.0,587.0
392780896427115452,Crossroads,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tundra.jpg,Team Deathmatch,383000,06m 23s,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,44.0,0.0,12.0,0.0,0.0,0
17215208877124796891,Garrison,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tank.jpg,Hardpoint,643000,10m 43s,22.0,0,1.0454545454545454,0,19.554030874785592,114.0,2.0,23.0,2355.0,7.0,1.0,238.68243243243242,22.0,3423.0,1.0,469.0,3.0,5.0,114.0,592.0,0.0,499.0,5.0,0.0,583.0
4721619846562473119,Checkmate,https://www.callofduty.com/cdn/app/base-maps/cw/mp_kgb.jpg,Domination,693000,11m 33s,0.0,0,0.0,0,10.0,1.0,0.0,0.0,50.0,0.0,0.0,36.144578313253014,3.0,32.0,0.0,9.0,0.0,0.0,1.0,83.0,0.0,32.0,1.0,0.0,10.0
17871568491264439754,Garrison,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tank.jpg,Domination,587000,09m 47s,13.0,0,0.7,0,23.0,92.0,2.0,14.0,1720.0,5.0,1.0,159.01386748844376,20.0,2723.0,0.65,308.0,1.0,2.0,92.0,649.0,0.0,491.0,7.0,0.0,400.0
16145457088584954245,Cartel,https://www.callofduty.com/cdn/app/base-maps/cw/mp_cartel.jpg,Domination,693000,11m 33s,16.0,0,1.2666666666666666,0,23.86058981233244,89.0,2.0,19.0,3520.0,5.0,5.0,280.8510638297872,15.0,3031.0,1.0666666666666667,284.0,1.0,7.0,89.0,752.0,0.0,611.0,6.0,0.0,373.0
12384326352316863917,Armada,https://www.callofduty.com/cdn/app/base-maps/cw/mp_black_sea.jpg,Domination,728000,12m 08s,25.0,0,3.25,0,30.218068535825545,97.0,2.0,26.0,5080.0,5.0,1.0,390.26888604353394,8.0,3374.0,3.125,224.0,3.0,7.0,97.0,781.0,0.0,661.0,12.0,0.0,321.0
